* 1:22am Jan 18  2017
* B02902030 vs B02902051
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. b7(P) d8(g)
* 2. a1(P) b1(N)
* 3. c4(g) b5(N)
* 4. c6(r) d5(G)
* 5. a2(r) a2-a1
* 6. c1(k) a1-b1
* 7. c3(p) a4(P)
* 8. a3(n) a3-a2
* 9. b2(R) b1-b2
* 10. d7(p) c1-b1
* 11. d2(C) c7(K)
* 12. c7-c6 a2-a3
* 13. a6(m) b1-a1
* 14. d2-b2 a1-b1
* 15. b3(p) b1-b2
* 16. a5(M) a6-a5
* 17. c8(P) a3-a4
* 18. b7-c7 b2-b1
* 19. c7-d7 b1-c1
* 20. c6-c7 c1-b1
* 21. c7-c6 b1-c1
* 22. c6-c7 c1-b1
* 23. c7-c6 b1-c1
* 24. c6-c7 c1-b1
* 25. c7-c6 b1-c1
* Draws
* Comment 0 0
0. 1484673777687
1. 1484673777703
2. 1484673777734
3. 1484673777765
4. 1484673777796
5. 1484673777828
6. 1484673777843
7. 1484673777890
8. 1484673777906
9. 1484673777968
10. 1484673777984
11. 1484673778031
12. 1484673778062
13. 1484673778093
14. 1484673778125
15. 1484673778187
16. 1484673778203
17. 1484673778234
18. 1484673778265
19. 1484673778312
20. 1484673778343
21. 1484673778390
22. 1484673778437
23. 1484673778500
24. 1484673778546
25. 1484673778562
26. 1484673778609
27. 1484673778640
28. 1484673778656
29. 1484673778734
30. 1484673778765
31. 1484673778796
32. 1484673778906
33. 1484673779000
34. 1484673779093
35. 1484673779109
36. 1484673779203
37. 1484673779203
38. 1484673779343
39. 1484673779343
40. 1484673779406
41. 1484673779421
42. 1484673779515
43. 1484673779578
44. 1484673779671
45. 1484673779703
46. 1484673779796
47. 1484673779828
48. 1484673779921
49. 1484673779953
