* 12:09am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. b4(K) a7(G)
* 2. d7(c) a3(m)
* 3. d4(C) a1(N)
* 4. d2(P) c4(G)
* 5. a4(r) c5(P)
* 6. b4-a4 b2(p)
* 7. a4-b4 b7(p)
* 8. a7-b7 a3-a4
* 9. c3(M) d7-b7
* 10. b4-a4 b7-a7
* 11. a5(N) a7-b7
* 12. b8(n) b7-a7
* 13. d3(n) a7-b7
* 14. c3-d3 b7-a7
* 15. b6(p) b6-b7
* 16. a6(P) b7-b6
* 17. a6-b6 a7-b7
* 18. a5-a6 d8(C)
* 19. d3-c3 c8(r)
* 20. d8-b8 b7-a7
* 21. d5(P) a7-b7
* 22. b5(c) b5-b4
* 23. d4-b4 b7-a7
* 24. a6-a7 c8-d8
* 25. d2-d3 d8-d7
* 26. d3-d2 d7-d8
* 27. d2-d3 d8-d7
* 28. d3-d2 d7-d8
* 29. d2-d3 d8-d7
* 30. d3-d2 d7-d8
* 31. d2-d3
* Draws
* Comment 0 0
0. 1484669369671
1. 1484669369687
2. 1484669369718
3. 1484669369750
4. 1484669369781
5. 1484669369812
6. 1484669369890
7. 1484669369937
8. 1484669370000
9. 1484669370031
10. 1484669370078
11. 1484669370171
12. 1484669370218
13. 1484669370250
14. 1484669370281
15. 1484669370312
16. 1484669370359
17. 1484669370390
18. 1484669370421
19. 1484669370437
20. 1484669370468
21. 1484669370484
22. 1484669370531
23. 1484669370578
24. 1484669370609
25. 1484669370625
26. 1484669370656
27. 1484669370703
28. 1484669370734
29. 1484669370781
30. 1484669370796
31. 1484669370843
32. 1484669370859
33. 1484669370906
34. 1484669370921
35. 1484669370953
36. 1484669371015
37. 1484669371046
38. 1484669371093
39. 1484669371109
40. 1484669371171
41. 1484669371296
42. 1484669371312
43. 1484669371343
44. 1484669371390
45. 1484669371453
46. 1484669371484
47. 1484669371546
48. 1484669371593
49. 1484669371640
50. 1484669371671
51. 1484669371718
52. 1484669371750
53. 1484669371796
54. 1484669371843
55. 1484669371875
56. 1484669371921
57. 1484669371937
58. 1484669371968
59. 1484669372000
60. 1484669372078
