* 12:13am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. b3(c) d8(P)
* 2. d7(N) b7(K)
* 3. d6(P) d3(p)
* 4. c7(C) c3(g)
* 5. d5(p) c5(p)
* 6. c4(R) c7-c5
* 7. c3-c4 b7-c7
* 8. c4-c5 c7-b7
* 9. a5(m) b7-c7
* 10. b8(k) c7-b7
* 11. b8-b7 d7-c7
* 12. d5-d6 c7-d7
* 13. c5-d5 c8(p)
* 14. c8-d8 c6(M)
* 15. b1(P) c6-c5
* 16. b3-b1 c5-c4
* 17. d2(P) c4-c3
* 18. a4(M) c3-b3
* 19. c1(G) b3-c3
* 20. a7(R) c3-b3
* 21. b1-b3 c1-b1
* 22. b3-b1 d7-c7
* 23. b1-c1 c7-d7
* 24. b4(n) d7-c7
* 25. c1-c7 d2-d3
* 26. a5-a4 d3-d2
* 27. a4-a5 d2-d3
* 28. b4-c4 a1(m)
* 29. c4-c3 a2(n)
* 30. a1-b1 a6(p)
* 31. b7-a7 b6(G)
* 32. c3-d3 b2(g)
* 33. d4(r) a8(N)
* 34. c2(P) c2-d2
* 35. b1-c1 d2-c2
* 36. c1-b1 c2-d2
* 37. b1-c1 d2-c2
* 38. c1-b1 c2-d2
* 39. b1-c1 d2-c2
* 40. c1-b1 c2-d2
* Draws
* Comment 0 0
0. 1484669641031
1. 1484669641078
2. 1484669641109
3. 1484669641140
4. 1484669641250
5. 1484669641281
6. 1484669641312
7. 1484669641375
8. 1484669641406
9. 1484669641468
10. 1484669641500
11. 1484669641531
12. 1484669641593
13. 1484669641656
14. 1484669641703
15. 1484669641734
16. 1484669641828
17. 1484669641859
18. 1484669641921
19. 1484669642000
20. 1484669642015
21. 1484669642046
22. 1484669642078
23. 1484669642125
24. 1484669642156
25. 1484669642187
26. 1484669642218
27. 1484669642234
28. 1484669642281
29. 1484669642312
30. 1484669642328
31. 1484669642390
32. 1484669642468
33. 1484669642484
34. 1484669642578
35. 1484669642625
36. 1484669642656
37. 1484669642687
38. 1484669642734
39. 1484669642765
40. 1484669642828
41. 1484669642859
42. 1484669642906
43. 1484669642953
44. 1484669642984
45. 1484669643046
46. 1484669643093
47. 1484669643140
48. 1484669643203
49. 1484669643250
50. 1484669643296
51. 1484669643359
52. 1484669643390
53. 1484669643421
54. 1484669643437
55. 1484669643484
56. 1484669643515
57. 1484669643546
58. 1484669643562
59. 1484669643593
60. 1484669643625
61. 1484669643656
62. 1484669643718
63. 1484669643718
64. 1484669643781
65. 1484669643796
66. 1484669643875
67. 1484669643937
68. 1484669644093
69. 1484669644125
70. 1484669644265
71. 1484669644312
72. 1484669644453
73. 1484669644468
74. 1484669644625
75. 1484669644640
76. 1484669644750
77. 1484669644781
78. 1484669644937
79. 1484669644968
