* 3:23pm Jan 19  2017
* B02705021 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d6(m) c3(N)
* 2. a6(p) a8(R)
* 3. b5(C) d3(N)
* 4. b4(c) d4(R)
* 5. b4-d4 d3-d4
* 6. a5(r) d5(n)
* 7. d5-d4 a4(p)
* 8. a5-b5 c7(n)
* 9. a4-b4 b1(P)
* 10. b4-a4 a3(G)
* 11. a7(P) a7-a6
* 12. a4-a5 a6-a7
* 13. a5-a6 a7-a6
* 14. d6-d5 a3-a4
* 15. d5-d6 a4-b4
* 16. b5-a5 b4-a4
* 17. a5-b5 a4-b4
* 18. b5-a5 b4-a4
* 19. a5-b5 a4-b4
* 20. b5-a5 b4-a4
* 21. a5-b5 a4-b4
* Draws
* Comment 0 0
0. 1484810647201
1. 1484810648176
2. 1484810648311
3. 1484810648321
4. 1484810648481
5. 1484810648491
6. 1484810648670
7. 1484810648681
8. 1484810648843
9. 1484810648875
10. 1484810649027
11. 1484810649038
12. 1484810649307
13. 1484810649319
14. 1484810649593
15. 1484810649605
16. 1484810649887
17. 1484810649899
18. 1484810650187
19. 1484810650200
20. 1484810650591
21. 1484810650804
22. 1484810651780
23. 1484810652067
24. 1484810652625
25. 1484810652774
26. 1484810653450
27. 1484810653591
28. 1484810654480
29. 1484810654694
30. 1484810655260
31. 1484810655432
32. 1484810655895
33. 1484810656109
34. 1484810656688
35. 1484810656861
36. 1484810657431
37. 1484810657645
38. 1484810658215
39. 1484810658386
40. 1484810658950
41. 1484810659166
