* 1:04pm Jan 19  2017
* B02902030 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. b7(r) d1(C)
* 2. a7(p) b6(P)
* 3. b3(c) c8(m)
* 4. b2(p) b8(G)
* 5. a2(P) b8-b7
* 6. d5(M) a2-b2
* 7. c5(n) b2-a2
* 8. c7(c) b7-b8
* 9. c1(p) b6-b7
* 10. a1(P) b7-a7
* 11. c2(m) b8-c8
* 12. c2-b2 c6(p)
* 13. d8(N) b5(P)
* 14. c1-c2 a6(n)
* 15. b2-a2 b1(G)
* 16. a2-b2 b1-b2
* 17. c2-c1 b4(N)
* 18. c4(P) c8-c7
* 19. d4(R) c7-c6
* 20. b3-b5 a1-b1
* 21. b5-b2 b1-c1
* 22. a5(C) d3(g)
* 23. d2(g) d1-d3
* 24. b2-a2 a8(k)
* 25. d7(R) a7-a8
* 26. a6-a7 a3(r)
* 27. a4(p) d3-a3
* 28. d6(M) c3(K)
* 29. c5-c4 b4-a4
* 30. a7-a8 d4-c4
* 31. a2-a1 d8-c8
* 32. a1-b1 d7-c7
* 33. b1-b2 c6-b6
* 34. b2-c2 c3-c2
* 35. d2-d3 c1-d1
* 36. d3-d2 c2-d2
* 37. a8-b8 b6-c6
* 38. b8-c8 d1-c1
* 39. c8-d8 c1-c2
* 40. d8-c8 c2-c1
* 41. c8-d8 c1-c2
* 42. d8-c8 c2-c1
* 43. c8-d8 c1-c2
* 44. d8-c8 c2-c1
* 45. c8-d8
* Draws
* Comment 0 0
0. 1484802276652
1. 1484802276676
2. 1484802276708
3. 1484802276750
4. 1484802276760
5. 1484802276816
6. 1484802276852
7. 1484802276879
8. 1484802276904
9. 1484802276934
10. 1484802276957
11. 1484802276993
12. 1484802277021
13. 1484802277062
14. 1484802277081
15. 1484802277154
16. 1484802277174
17. 1484802277215
18. 1484802277238
19. 1484802277282
20. 1484802277292
21. 1484802277386
22. 1484802277403
23. 1484802277436
24. 1484802277476
25. 1484802277511
26. 1484802277585
27. 1484802277692
28. 1484802277777
29. 1484802277844
30. 1484802277927
31. 1484802278349
32. 1484802278360
33. 1484802278535
34. 1484802279607
35. 1484802280283
36. 1484802282219
37. 1484802282735
38. 1484802284062
39. 1484802284111
40. 1484802284163
41. 1484802284340
42. 1484802284494
43. 1484802284541
44. 1484802285291
45. 1484802285316
46. 1484802285536
47. 1484802286045
48. 1484802289070
49. 1484802290736
50. 1484802292247
51. 1484802292640
52. 1484802297134
53. 1484802299842
54. 1484802303655
55. 1484802305238
56. 1484802307836
57. 1484802312566
58. 1484802313474
59. 1484802313861
60. 1484802315030
61. 1484802317004
62. 1484802317028
63. 1484802318541
64. 1484802319834
65. 1484802322303
66. 1484802322341
67. 1484802322539
68. 1484802324933
69. 1484802325012
70. 1484802325118
71. 1484802325127
72. 1484802325153
73. 1484802325833
74. 1484802325843
75. 1484802325867
76. 1484802326041
77. 1484802326056
78. 1484802326099
79. 1484802326133
80. 1484802326146
81. 1484802326191
82. 1484802326224
83. 1484802326262
84. 1484802326294
85. 1484802326323
86. 1484802326373
87. 1484802326438
88. 1484802326478
