* 11:06am Jan 19  2017
* B02902030 vs TCG1
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b7(M) d5(c)
* 2. b6(p) b1(P)
* 3. a7(n) b4(C)
* 4. b3(M) d4(g)
* 5. b7-a7 c2(N)
* 6. b4-d4 a8(m)
* 7. a7-a8 d8(K)
* 8. b3-b4 a4(p)
* 9. b4-b3 b8(n)
* 10. a8-b8 c4(c)
* 11. b3-b4 c8(R)
* 12. b4-c4 c3(P)
* 13. b8-b7 d3(r)
* 14. b7-b6 c6(p)
* 15. b6-c6 c5(R)
* 16. c5-d5 d6(k)
* 17. d4-d6 d7(G)
* 18. d6-d3 d1(p)
* 19. d5-c5 c7(P)
* 20. d3-d1 d2(C)
* 21. c6-b6 a1(P)
* 22. c3-d3 a5(m)
* 23. c2-c3 a6(N)
* 24. c4-b4 a3(r)
* 25. b5(G) c1(g)
* 26. a2(P) c1-d1
* 27. a6-a7 d1-d2
* 28. b1-c1 d2-d3
* 29. a7-a6 a3-a2
* 30. b5-a5 a2-a1
* 31. b2(p) a1-b1
* 32. c3-b3 b1-c1
* 33. b3-c3 c1-b1
* 34. a5-a4 d3-c3
* 35. a4-a3 b1-c1
* 36. a3-b3 c3-b3
* 37. b4-c4 b3-c3
* 38. c4-d4 c3-c4
* 39. d4-d3 c4-c5
* 40. d3-d2 c5-b5
* 41. b6-c6 b5-b6
* 42. c6-c5 c1-d1
* 43. c8-b8 d1-c1
* 44. c7-c8 b6-b7
* 45. d2-d1 c1-b1
* 46. d1-c1 b1-a1
* 47. c1-d1 a1-b1
* 48. d1-c1 b1-a1
* 49. c1-d1 a1-b1
* 50. d1-c1 b1-a1
* 51. c1-d1 a1-b1
* 52. d1-c1
* Draws
* Comment 0 0
0. 1484795219604
1. 1484795219814
2. 1484795219825
3. 1484795220217
4. 1484795220229
5. 1484795220583
6. 1484795220612
7. 1484795220944
8. 1484795220959
9. 1484795221300
10. 1484795221322
11. 1484795221661
12. 1484795221670
13. 1484795222034
14. 1484795222043
15. 1484795222377
16. 1484795222389
17. 1484795222736
18. 1484795222748
19. 1484795223094
20. 1484795223107
21. 1484795223437
22. 1484795223450
23. 1484795223796
24. 1484795223812
25. 1484795224139
26. 1484795224162
27. 1484795224498
28. 1484795224524
29. 1484795224857
30. 1484795224948
31. 1484795225215
32. 1484795225320
33. 1484795225575
34. 1484795225601
35. 1484795225933
36. 1484795225999
37. 1484795226277
38. 1484795226414
39. 1484795226635
40. 1484795226820
41. 1484795226994
42. 1484795227262
43. 1484795227401
44. 1484795227776
45. 1484795227915
46. 1484795228277
47. 1484795228418
48. 1484795231008
49. 1484795231144
50. 1484795242448
51. 1484795242608
52. 1484795246736
53. 1484795246975
54. 1484795246986
55. 1484795247428
56. 1484795249226
57. 1484795249476
58. 1484795249849
59. 1484795250096
60. 1484795250310
61. 1484795251218
62. 1484795252485
63. 1484795253168
64. 1484795253179
65. 1484795254276
66. 1484795258344
67. 1484795258924
68. 1484795258936
69. 1484795259720
70. 1484795259929
71. 1484795260500
72. 1484795262015
73. 1484795262356
74. 1484795262367
75. 1484795263042
76. 1484795264056
77. 1484795264540
78. 1484795264552
79. 1484795265101
80. 1484795265427
81. 1484795265788
82. 1484795265888
83. 1484795266348
84. 1484795266625
85. 1484795266992
86. 1484795268353
87. 1484795268813
88. 1484795268840
89. 1484795269391
90. 1484795269973
91. 1484795270217
92. 1484795270237
93. 1484795270780
94. 1484795270792
95. 1484795271231
96. 1484795271241
97. 1484795271792
98. 1484795271805
99. 1484795272248
100. 1484795272276
101. 1484795272822
102. 1484795272838
