* 9:48am Jan 19  2017
* a988 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. a6(n) c1(p)
* 2. b2(K) d7(M)
* 3. b1(R) b3(m)
* 4. b4(r) a7(G)
* 5. a3(p) a5(c)
* 6. a5-a7 b1-c1
* 7. a6-a5 d8(n)
* 8. a2(P) d7-d8
* 9. a5-a6 d8-d7
* 10. a6-a5 a4(G)
* 11. a3-a2 a1(g)
* 12. a2-b2 a4-b4
* 13. b3-a3 d5(P)
* 14. d2(P) c2(N)
* 15. a3-a2 c5(g)
* 16. c5-d5 d6(R)
* 17. d5-d6 c4(P)
* 18. d6-d7 d1(C)
* 19. a1-b1 d1-b1
* 20. a2-a1 c6(p)
* 21. b8(p) c8(C)
* 22. c6-d6 b5(r)
* 23. a1-b1 b4-b5
* 24. a5-a6 b6(P)
* 25. c7(M) d3(c)
* 26. d7-c7 b7(k)
* 27. a6-b6 a8(p)
* 28. c7-c8 d4(N)
* 29. b6-a6 c3(m)
* 30. c3-c2 c4-b4
* 31. d3-c3 c1-d1
* 32. c2-d2 d1-c1
* 33. d2-c2 c1-d1
* 34. c2-d2 d1-c1
* 35. d2-c2 c1-d1
* 36. c2-d2 d1-c1
* 37. d2-c2 c1-d1
* 38. c2-d2 d1-c1
* Draws
* Comment 0 0
0. 1484790523390
1. 1484790524390
2. 1484790524515
3. 1484790524531
4. 1484790524687
5. 1484790524687
6. 1484790524859
7. 1484790524875
8. 1484790525031
9. 1484790525046
10. 1484790525203
11. 1484790525234
12. 1484790525375
13. 1484790525375
14. 1484790525656
15. 1484790525656
16. 1484790526156
17. 1484790526171
18. 1484790526562
19. 1484790526578
20. 1484790527281
21. 1484790527296
22. 1484790527468
23. 1484790527500
24. 1484790527968
25. 1484790527984
26. 1484790529015
27. 1484790529046
28. 1484790530843
29. 1484790530937
30. 1484790532468
31. 1484790532593
32. 1484790534015
33. 1484790534234
34. 1484790536421
35. 1484790536578
36. 1484790538781
37. 1484790539000
38. 1484790542296
39. 1484790542531
40. 1484790543734
41. 1484790544343
42. 1484790546234
43. 1484790547062
44. 1484790548500
45. 1484790549156
46. 1484790551140
47. 1484790551390
48. 1484790554812
49. 1484790557859
50. 1484790560156
51. 1484790560765
52. 1484790561921
53. 1484790562765
54. 1484790563890
55. 1484790564875
56. 1484790565671
57. 1484790566718
58. 1484790567531
59. 1484790570578
60. 1484790571703
61. 1484790571734
62. 1484790573187
63. 1484790578765
64. 1484790581312
65. 1484790581437
66. 1484790585171
67. 1484790585468
68. 1484790587781
69. 1484790588468
70. 1484790591546
71. 1484790592890
72. 1484790596187
73. 1484790597953
74. 1484790599609
75. 1484790599875
