* 12:26am Jan 16  2017
* B02902030 vs B02902051
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. d1(P) c8(K)
* 2. d3(P) c3(m)
* 3. c5(k) c3-d3
* 4. b4(p) b5(n)
* 5. a5(N) b5-a5
* 6. c1(P) d7(c)
* 7. c4(C) b4-b5
* 8. c6(M) d3-c3
* 9. d8(p) d8-c8
* 10. a3(C) c3-c4
* 11. d6(P) d5(N)
* 12. b6(r) a2(G)
* 13. c6-b6 b3(r)
* 14. a3-a5 b5-b4
* 15. c2(c) c2-c3
* 16. b8(P) d7-d5
* 17. a7(p) c5-b5
* 18. a6(g) d5-a5
* 19. b1(m) c8-b8
* 20. d2(R) b1-c1
* 21. a1(G) c1-d1
* 22. a4(p) d1-d2
* 23. b7(g) d2-d1
* 24. c7(M) b7-c7
* 25. a8(n) d1-d2
* 26. d4(p) d2-d1
* 27. b2(R) b3-b2
* 28. a1-b1 b2-c2
* 29. b1-b2 c2-d2
* 30. b2-c2 a5-a2
* 31. c2-d2 b5-b6
* 32. d2-d3 c4-c5
* 33. d3-c3 d1-c1
* 34. c3-b3 a4-a5
* 35. b3-b4 c5-d5
* 36. b4-c4 c1-d1
* 37. c4-d4 d5-c5
* 38. d4-d3 d1-c1
* 39. d3-d2 c1-b1
* 40. d2-d1 b1-a1
* 41. d1-c1 a1-b1
* 42. c1-b1 a2-a3
* 43. b1-a1 a3-b3
* 44. a1-b1 b3-c3
* 45. b1-c1 c3-d3
* 46. c1-d1 d3-c3
* 47. d1-c1 c3-d3
* 48. c1-d1 d3-c3
* 49. d1-c1 c3-d3
* 50. c1-d1 d3-c3
* 51. d1-c1 c3-d3
* Draws
* Comment 0 0
0. 1484497573172
1. 1484497573203
2. 1484497573235
3. 1484497573266
4. 1484497573297
5. 1484497573344
6. 1484497573375
7. 1484497573422
8. 1484497573453
9. 1484497573485
10. 1484497573531
11. 1484497573547
12. 1484497573610
13. 1484497573610
14. 1484497573672
15. 1484497573688
16. 1484497573750
17. 1484497573766
18. 1484497573813
19. 1484497573844
20. 1484497573875
21. 1484497573906
22. 1484497573953
23. 1484497573969
24. 1484497574031
25. 1484497574047
26. 1484497574094
27. 1484497574110
28. 1484497574156
29. 1484497574188
30. 1484497574235
31. 1484497574266
32. 1484497574313
33. 1484497574344
34. 1484497574391
35. 1484497574438
36. 1484497574469
37. 1484497574516
38. 1484497574531
39. 1484497574594
40. 1484497574625
41. 1484497574688
42. 1484497574703
43. 1484497574766
44. 1484497574797
45. 1484497574860
46. 1484497574891
47. 1484497574969
48. 1484497575016
49. 1484497575063
50. 1484497575110
51. 1484497575188
52. 1484497575235
53. 1484497575563
54. 1484497575766
55. 1484497576188
56. 1484497576469
57. 1484497576860
58. 1484497577125
59. 1484497577516
60. 1484497577719
61. 1484497578016
62. 1484497578110
63. 1484497578266
64. 1484497578360
65. 1484497578610
66. 1484497578719
67. 1484497578969
68. 1484497579063
69. 1484497579250
70. 1484497579313
71. 1484497579422
72. 1484497579469
73. 1484497579547
74. 1484497579594
75. 1484497579688
76. 1484497579735
77. 1484497579828
78. 1484497579891
79. 1484497579953
80. 1484497580000
81. 1484497580063
82. 1484497580110
83. 1484497580172
84. 1484497580219
85. 1484497580266
86. 1484497580313
87. 1484497580406
88. 1484497580453
89. 1484497580531
90. 1484497580578
91. 1484497580625
92. 1484497580656
93. 1484497580735
94. 1484497580766
95. 1484497580828
96. 1484497580875
97. 1484497580938
98. 1484497580985
99. 1484497581031
100. 1484497581078
101. 1484497581156
