* 12:41pm Jan 16  2017
* B02902030 vs B02902051
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. b7(N) a2(m)
* 2. c7(P) c6(M)
* 3. a4(K) b5(R)
* 4. d4(R) a6(g)
* 5. b2(p) a8(r)
* 6. b8(c) d5(m)
* 7. c8(N) d5-d4
* 8. d1(r) d4-d5
* 9. c2(p) d5-d4
* 10. c4(P) d4-c4
* 11. d3(n) d3-d4
* 12. d2(p) d2-d3
* 13. a5(n) b1(C)
* 14. a4-a5 b3(c)
* 15. b1-b3 a7(P)
* 16. a5-a6 c5(M)
* 17. c5-c4 a1(p)
* 18. c4-d4 b4(k)
* 19. b3-d3 d1-d2
* 20. c1(G) d2-d3
* 21. c1-c2 a3(G)
* 22. a3-a2 d8(p)
* 23. b5-a5 c3(g)
* 24. c2-c3 b6(P)
* 25. c3-d3 d6(P)
* 26. a2-b2 d7(C)
* 27. c8-d8 b4-b3
* 28. b2-b1 a1-a2
* 29. b1-c1 b3-c3
* 30. c1-d1 b8-b6
* 31. d3-d2 c3-d3
* 32. d4-c4 d3-d2
* 33. d7-d2 b6-d6
* 34. c6-d6 a8-b8
* 35. a6-b6 b8-c8
* 36. d1-c1 a2-b2
* 37. c1-d1 b2-c2
* 38. d1-c1 c2-b2
* 39. c1-d1 b2-c2
* 40. d1-c1 c2-b2
* 41. c1-d1 b2-c2
* 42. d1-c1 c2-b2
* 43. c1-d1
* Draws
* Comment 0 0
0. 1484541709046
1. 1484541709062
2. 1484541709109
3. 1484541709125
4. 1484541709156
5. 1484541709171
6. 1484541709265
7. 1484541709281
8. 1484541709328
9. 1484541709328
10. 1484541709375
11. 1484541709390
12. 1484541709421
13. 1484541709437
14. 1484541709484
15. 1484541709484
16. 1484541709546
17. 1484541709546
18. 1484541709593
19. 1484541709593
20. 1484541709640
21. 1484541709656
22. 1484541709687
23. 1484541709703
24. 1484541709750
25. 1484541709750
26. 1484541709796
27. 1484541709828
28. 1484541709859
29. 1484541709875
30. 1484541709921
31. 1484541709937
32. 1484541709984
33. 1484541710000
34. 1484541710046
35. 1484541710062
36. 1484541710125
37. 1484541710156
38. 1484541710234
39. 1484541710265
40. 1484541710328
41. 1484541710343
42. 1484541710421
43. 1484541710453
44. 1484541710531
45. 1484541710562
46. 1484541710687
47. 1484541710750
48. 1484541710875
49. 1484541710921
50. 1484541711015
51. 1484541711062
52. 1484541711203
53. 1484541711328
54. 1484541711468
55. 1484541711578
56. 1484541711734
57. 1484541711859
58. 1484541712000
59. 1484541712125
60. 1484541712312
61. 1484541712468
62. 1484541712609
63. 1484541712765
64. 1484541712937
65. 1484541713015
66. 1484541713203
67. 1484541713265
68. 1484541713375
69. 1484541713437
70. 1484541713562
71. 1484541713640
72. 1484541713828
73. 1484541713906
74. 1484541714015
75. 1484541714062
76. 1484541714281
77. 1484541714343
78. 1484541714468
79. 1484541714515
80. 1484541714718
81. 1484541714796
82. 1484541714906
83. 1484541714953
84. 1484541715140
