* 12:24am Jan 16  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. d7(P) c4(m)
* 2. a8(n) b1(r)
* 3. d8(p) d8-d7
* 4. a2(K) a5(p)
* 5. d3(n) c7(M)
* 6. c7-d7 c5(c)
* 7. c6(N) b8(M)
* 8. c6-c7 b5(R)
* 9. b5-a5 d4(g)
* 10. a5-b5 d1(N)
* 11. b5-a5 d5(r)
* 12. a5-b5 c8(p)
* 13. b5-c5 b2(C)
* 14. c5-d5 c3(R)
* 15. c3-d3 b6(P)
* 16. c7-c8 c4-c3
* 17. a1(k) a1-a2
* 18. b3(C) b1-b2
* 19. a6(P) d4-d5
* 20. d2(m) b2-b3
* 21. b7(p) b7-b6
* 22. c2(G) a4(P)
* 23. a6-b6 d6(g)
* 24. c2-d2 d6-d7
* 25. b8-a8 a2-b2
* 26. c1(c) c1-c8
* 27. b4(p) b4-a4
* 28. a3(P) b3-a3
* 29. a7(G) b2-c2
* 30. d3-d4 c2-d2
* 31. d4-d3 d2-d1
* 32. a8-b8 d7-c7
* 33. a7-a6 c3-d3
* 34. a6-a5 a4-b4
* 35. a5-b5 b4-c4
* 36. b5-b4 c4-d4
* 37. b4-b3 a3-a2
* 38. b3-b2 a2-a1
* 39. b2-b1 a1-a2
* 40. b1-a1 a2-b2
* 41. a1-b1 b2-c2
* 42. b1-a1 d1-c1
* 43. a1-a2 c1-d1
* 44. a2-b2 d1-c1
* 45. b2-c2 c1-c2
* 46. b6-b5 c2-d2
* 47. b5-b4 d2-d1
* 48. b4-b3 d1-c1
* 49. b3-b2 c1-d1
* 50. b2-b1 d1-d2
* 51. b1-a1 d2-d1
* 52. a1-b1 d1-d2
* 53. b1-a1 d2-d1
* 54. a1-b1 d1-d2
* 55. b1-a1 d2-d1
* 56. a1-b1 d1-d2
* Draws
* Comment 0 0
0. 1484497471844
1. 1484497471860
2. 1484497471922
3. 1484497471938
4. 1484497472078
5. 1484497472141
6. 1484497472188
7. 1484497472235
8. 1484497472297
9. 1484497472328
10. 1484497472375
11. 1484497472406
12. 1484497472438
13. 1484497472469
14. 1484497472500
15. 1484497472547
16. 1484497472578
17. 1484497472610
18. 1484497472641
19. 1484497472688
20. 1484497472703
21. 1484497472750
22. 1484497472781
23. 1484497472797
24. 1484497472844
25. 1484497472875
26. 1484497472922
27. 1484497472953
28. 1484497473000
29. 1484497473016
30. 1484497473078
31. 1484497473110
32. 1484497473156
33. 1484497473188
34. 1484497473235
35. 1484497473266
36. 1484497473313
37. 1484497473360
38. 1484497473391
39. 1484497473438
40. 1484497473469
41. 1484497473531
42. 1484497473578
43. 1484497473656
44. 1484497473735
45. 1484497473781
46. 1484497473860
47. 1484497473922
48. 1484497473969
49. 1484497474016
50. 1484497474063
51. 1484497474141
52. 1484497474203
53. 1484497474313
54. 1484497474375
55. 1484497474516
56. 1484497474578
57. 1484497474891
58. 1484497475031
59. 1484497475328
60. 1484497475531
61. 1484497475750
62. 1484497475875
63. 1484497476125
64. 1484497476281
65. 1484497476500
66. 1484497476563
67. 1484497476703
68. 1484497476860
69. 1484497477125
70. 1484497477250
71. 1484497477438
72. 1484497477531
73. 1484497477641
74. 1484497477750
75. 1484497477875
76. 1484497477969
77. 1484497478063
78. 1484497478141
79. 1484497478219
80. 1484497478281
81. 1484497478391
82. 1484497478485
83. 1484497478578
84. 1484497478656
85. 1484497478766
86. 1484497478844
87. 1484497478969
88. 1484497479063
89. 1484497479141
90. 1484497479188
91. 1484497479235
92. 1484497479266
93. 1484497479328
94. 1484497479375
95. 1484497479422
96. 1484497479469
97. 1484497479531
98. 1484497479578
99. 1484497479610
100. 1484497479656
101. 1484497479703
102. 1484497479750
103. 1484497479797
104. 1484497479828
105. 1484497479875
106. 1484497479906
107. 1484497479953
108. 1484497479985
109. 1484497480047
110. 1484497480078
111. 1484497480125
