* 12:26am Jan 16  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. b2(N) d2(N)
* 2. b6(c) b3(r)
* 3. b1(G) b7(P)
* 4. a2(p) b4(R)
* 5. b4-b3 a8(C)
* 6. c6(p) c1(C)
* 7. c4(R) d3(P)
* 8. b3-b4 d4(p)
* 9. d3-d4 d8(g)
* 10. b2-a2 c5(k)
* 11. a4(M) c7(P)
* 12. c7-c6 a7(n)
* 13. c3(M) c5-c4
* 14. b5(m) c4-b4
* 15. a5(g) b4-a4
* 16. d6(p) b6-b1
* 17. b8(c) b1-b2
* 18. c8(P) b2-d2
* 19. c2(n) c2-c1
* 20. d5(P) d6-c6
* 21. a6(p) d2-d5
* 22. a3(m) a3-a2
* 23. d1(r) c1-b1
* 24. a1(K) a7-a8
* 25. c8-c7 d7(G)
* 26. d7-d8 c6-d6
* 27. c7-d7 b5-b6
* 28. b7-c7 a2-a3
* 29. a1-a2 b1-c1
* 30. c3-c2 c1-b1
* 31. a2-a1 b1-b2
* 32. a1-a2 d1-d2
* 33. a2-b2 d2-d3
* 34. b2-a2 d3-d4
* 35. c2-c3 a3-b3
* 36. a2-a3 a4-a3
* 37. c3-c2 d6-d7
* 38. d8-d7 a3-a2
* 39. d7-d6 d5-c5
* 40. d6-d5 a2-b2
* 41. c2-d2 b2-c2
* 42. d2-d1 c2-d2
* 43. d1-c1 d2-d1
* 44. c1-c2 d1-c1
* 45. c2-d2 c1-d1
* 46. d2-c2 d1-c1
* 47. c2-d2 c1-d1
* 48. d2-c2 d1-c1
* 49. c2-d2 c1-d1
* 50. d2-c2 d1-c1
* Draws
* Comment 0 0
0. 1484497588516
1. 1484497588531
2. 1484497588594
3. 1484497588610
4. 1484497588672
5. 1484497588688
6. 1484497588750
7. 1484497588781
8. 1484497588844
9. 1484497588891
10. 1484497588938
11. 1484497588985
12. 1484497589000
13. 1484497589047
14. 1484497589078
15. 1484497589125
16. 1484497589156
17. 1484497589203
18. 1484497589235
19. 1484497589281
20. 1484497589297
21. 1484497589375
22. 1484497589391
23. 1484497589438
24. 1484497589469
25. 1484497589516
26. 1484497589547
27. 1484497589610
28. 1484497589625
29. 1484497589688
30. 1484497589703
31. 1484497589766
32. 1484497589813
33. 1484497589860
34. 1484497589922
35. 1484497589985
36. 1484497590047
37. 1484497590125
38. 1484497590203
39. 1484497590313
40. 1484497590422
41. 1484497590563
42. 1484497590625
43. 1484497590766
44. 1484497590860
45. 1484497591000
46. 1484497591094
47. 1484497591313
48. 1484497591453
49. 1484497591672
50. 1484497592328
51. 1484497592985
52. 1484497593531
53. 1484497594031
54. 1484497594422
55. 1484497594922
56. 1484497595313
57. 1484497595844
58. 1484497596250
59. 1484497596625
60. 1484497597078
61. 1484497597547
62. 1484497597985
63. 1484497598469
64. 1484497598922
65. 1484497599328
66. 1484497599656
67. 1484497600016
68. 1484497600235
69. 1484497600485
70. 1484497600766
71. 1484497601094
72. 1484497601250
73. 1484497601485
74. 1484497601641
75. 1484497601813
76. 1484497601953
77. 1484497602188
78. 1484497602406
79. 1484497602703
80. 1484497602875
81. 1484497603094
82. 1484497603235
83. 1484497603453
84. 1484497603547
85. 1484497603797
86. 1484497603922
87. 1484497604188
88. 1484497604360
89. 1484497604594
90. 1484497604719
91. 1484497604985
92. 1484497605156
93. 1484497605406
94. 1484497605547
95. 1484497605813
96. 1484497605985
97. 1484497606235
98. 1484497606360
99. 1484497606641
