* 12:27am Jan 16  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. c6(r) b5(C)
* 2. c4(p) d2(g)
* 3. a7(N) d8(C)
* 4. d5(M) d1(G)
* 5. d2-d1 b4(R)
* 6. d3(p) b4-c4
* 7. a6(r) a2(p)
* 8. d1-d2 d7(P)
* 9. d2-d1 b7(n)
* 10. a6-a7 c4-b4
* 11. c1(G) c1-d1
* 12. a8(R) a8-a7
* 13. b3(P) b5-b7
* 14. a3(M) a3-a2
* 15. d4(c) d5-d4
* 16. b8(N) d1-c1
* 17. a1(K) c1-d1
* 18. a4(p) a2-a3
* 19. d6(m) a3-a4
* 20. b1(P) d4-d3
* 21. c3(n) d3-c3
* 22. b2(c) b3-a3
* 23. b6(p) a1-a2
* 24. c7(m) a5(k)
* 25. a5-a4 a3-a4
* 26. d6-d7 c5(g)
* 27. c7-b7 c2(P)
* 28. b2-b3 c8(P)
* 29. b7-a7 b1-c1
* 30. b3-b2 c1-b1
* 31. b2-b3 b1-c1
* 32. b3-b2 c1-b1
* 33. b2-b3 b1-c1
* 34. b3-b2 c1-b1
* 35. b2-b3 b1-c1
* Draws
* Comment 0 0
0. 1484497635047
1. 1484497635063
2. 1484497635141
3. 1484497635156
4. 1484497635203
5. 1484497635235
6. 1484497635266
7. 1484497635313
8. 1484497635344
9. 1484497635375
10. 1484497635406
11. 1484497635438
12. 1484497635469
13. 1484497635516
14. 1484497635547
15. 1484497635578
16. 1484497635610
17. 1484497635656
18. 1484497635688
19. 1484497635719
20. 1484497635766
21. 1484497635797
22. 1484497635844
23. 1484497635860
24. 1484497635922
25. 1484497635938
26. 1484497636016
27. 1484497636031
28. 1484497636094
29. 1484497636110
30. 1484497636172
31. 1484497636188
32. 1484497636250
33. 1484497636250
34. 1484497636313
35. 1484497636328
36. 1484497636375
37. 1484497636406
38. 1484497636438
39. 1484497636485
40. 1484497636516
41. 1484497636563
42. 1484497636594
43. 1484497636641
44. 1484497636656
45. 1484497636719
46. 1484497636750
47. 1484497636844
48. 1484497636906
49. 1484497637016
50. 1484497637078
51. 1484497637156
52. 1484497637266
53. 1484497637453
54. 1484497637641
55. 1484497638000
56. 1484497638703
57. 1484497639516
58. 1484497640031
59. 1484497640547
60. 1484497641110
61. 1484497641922
62. 1484497642453
63. 1484497642953
64. 1484497643516
65. 1484497644328
66. 1484497644844
67. 1484497645375
68. 1484497645938
69. 1484497646750
