* 12:42pm Jan 16  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. a1(N) a2(n)
* 2. a1-a2 c5(m)
* 3. d3(C) a8(p)
* 4. d7(P) c6(p)
* 5. b8(r) d6(P)
* 6. d2(r) d2-d3
* 7. a6(P) d4(R)
* 8. d4-d3 a3(m)
* 9. b6(p) a3-a2
* 10. c2(p) b6-a6
* 11. d3-d2 d5(g)
* 12. d6-c6 c5-c6
* 13. c1(k) d5-d4
* 14. b1(p) b1-a1
* 15. c8(c) a1-b1
* 16. b4(g) b1-a1
* 17. b2(N) a2-b2
* 18. c7(R) c6-c7
* 19. c3(P) c2-c3
* 20. a5(G) c1-c2
* 21. d8(M) a6-b6
* 22. d1(c) c2-d2
* 23. b5(P) b6-c6
* 24. b3(M) b2-b3
* 25. a4(K) b7(n)
* 26. a4-b4 d2-c2
* 27. c4(C) d4-c4
* 28. d8-c8 c7-c8
* 29. a7(G) d1-c1
* 30. b4-c4 c3-c4
* 31. a7-b7 a8-a7
* 32. a5-a6 a1-b1
* 33. b5-c5 c4-c5
* 34. a6-b6 b1-a1
* 35. b6-c6 c1-b1
* 36. c6-c7 b1-b7
* 37. c7-b7 c5-c6
* 38. b7-a7 c8-d8
* 39. a7-b7 b8-c8
* 40. b7-c7 a1-b1
* 41. c7-c6 b1-c1
* 42. c6-c7 c1-d1
* 43. d7-d6 c8-b8
* 44. d6-d5 b8-a8
* 45. d5-d4 d1-c1
* 46. d4-d3 c1-d1
* 47. d3-d4 d1-c1
* 48. d4-d3 c1-d1
* 49. d3-d4 d1-c1
* 50. d4-d3 c1-d1
* 51. d3-d4 d1-c1
* Draws
* Comment 0 0
0. 1484541723515
1. 1484541723515
2. 1484541723625
3. 1484541723625
4. 1484541723671
5. 1484541723687
6. 1484541723734
7. 1484541723734
8. 1484541723781
9. 1484541723781
10. 1484541723828
11. 1484541723843
12. 1484541723890
13. 1484541723890
14. 1484541723937
15. 1484541723953
16. 1484541723984
17. 1484541724015
18. 1484541724062
19. 1484541724093
20. 1484541724125
21. 1484541724140
22. 1484541724171
23. 1484541724203
24. 1484541724234
25. 1484541724250
26. 1484541724281
27. 1484541724312
28. 1484541724328
29. 1484541724375
30. 1484541724421
31. 1484541724453
32. 1484541724484
33. 1484541724515
34. 1484541724546
35. 1484541724562
36. 1484541724640
37. 1484541724687
38. 1484541724703
39. 1484541724750
40. 1484541724765
41. 1484541724812
42. 1484541724828
43. 1484541724906
44. 1484541724921
45. 1484541725000
46. 1484541725062
47. 1484541725156
48. 1484541725187
49. 1484541725250
50. 1484541725296
51. 1484541725375
52. 1484541725437
53. 1484541725625
54. 1484541725687
55. 1484541725890
56. 1484541725968
57. 1484541726500
58. 1484541726859
59. 1484541727375
60. 1484541727671
61. 1484541728156
62. 1484541728515
63. 1484541729156
64. 1484541729500
65. 1484541730062
66. 1484541730187
67. 1484541730421
68. 1484541730562
69. 1484541730796
70. 1484541730937
71. 1484541731093
72. 1484541731125
73. 1484541731234
74. 1484541731296
75. 1484541731359
76. 1484541731390
77. 1484541731453
78. 1484541731468
79. 1484541731500
80. 1484541731531
81. 1484541731578
82. 1484541731625
83. 1484541731656
84. 1484541731687
85. 1484541731734
86. 1484541731812
87. 1484541731890
88. 1484541731921
89. 1484541731968
90. 1484541732000
91. 1484541732062
92. 1484541732093
93. 1484541732156
94. 1484541732171
95. 1484541732250
96. 1484541732281
97. 1484541732343
98. 1484541732359
99. 1484541732421
100. 1484541732453
101. 1484541732515
