* 12:44pm Jan 16  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. c6(c) d7(G)
* 2. b4(g) b5(M)
* 3. b4-b5 a4(P)
* 4. d1(R) b2(r)
* 5. a7(N) a6(p)
* 6. c5(n) a8(C)
* 7. c7(R) c7-c6
* 8. b7(p) a8-a6
* 9. c3(M) a7-b7
* 10. c1(p) d1-c1
* 11. d6(p) c1-d1
* 12. d5(k) d1-c1
* 13. b8(g) c6-d6
* 14. b5-b4 a5(n)
* 15. b4-a4 c2(P)
* 16. b2-c2 d4(m)
* 17. c2-c1 a6-a4
* 18. a5-a4 b6(P)
* 19. d5-d6 b1(C)
* 20. c1-b1 a3(r)
* 21. d6-d7 d2(P)
* 22. b8-b7 c8(G)
* 23. b1-c1 d8(K)
* 24. d7-d8 a1(c)
* 25. d8-c8 b3(p)
* 26. a2(P) d3(N)
* 27. a3-a2 c4(m)
* 28. c4-c3 d2-d1
* 29. a1-d1 d3-d2
* 30. c3-d3 d2-d1
* 31. c1-d1 b6-c6
* 32. d1-c1 c6-d6
* 33. b7-c7 d6-d5
* 34. c1-d1 d5-d6
* 35. d1-c1 d6-d5
* 36. c1-d1 d5-d6
* 37. d1-c1 d6-d5
* 38. c1-d1 d5-d6
* 39. d1-c1 d6-d5
* Draws
* Comment 0 0
0. 1484541845156
1. 1484541845171
2. 1484541845203
3. 1484541845218
4. 1484541845265
5. 1484541845265
6. 1484541845312
7. 1484541845328
8. 1484541845359
9. 1484541845375
10. 1484541845421
11. 1484541845437
12. 1484541845468
13. 1484541845484
14. 1484541845515
15. 1484541845531
16. 1484541845578
17. 1484541845593
18. 1484541845640
19. 1484541845656
20. 1484541845703
21. 1484541845703
22. 1484541845765
23. 1484541845781
24. 1484541845812
25. 1484541845843
26. 1484541845875
27. 1484541845968
28. 1484541845968
29. 1484541846015
30. 1484541846031
31. 1484541846093
32. 1484541846109
33. 1484541846156
34. 1484541846171
35. 1484541846281
36. 1484541846296
37. 1484541846390
38. 1484541846437
39. 1484541846468
40. 1484541846500
41. 1484541846531
42. 1484541846578
43. 1484541846593
44. 1484541846671
45. 1484541846703
46. 1484541846796
47. 1484541846828
48. 1484541846875
49. 1484541846906
50. 1484541847031
51. 1484541847093
52. 1484541847203
53. 1484541847265
54. 1484541847593
55. 1484541847656
56. 1484541847843
57. 1484541847906
58. 1484541848093
59. 1484541848140
60. 1484541848250
61. 1484541848265
62. 1484541848312
63. 1484541848328
64. 1484541848390
65. 1484541848406
66. 1484541848437
67. 1484541848484
68. 1484541848546
69. 1484541848671
70. 1484541848703
71. 1484541848734
72. 1484541848796
73. 1484541848796
74. 1484541848875
75. 1484541848890
76. 1484541848953
77. 1484541848984
