* 12:13am Jan 18  2017
* B02902030 vs B02902051
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 100
* 1. b7(C) c5(G)
* 2. d3(k) b5(K)
* 3. a4(N) d2(P)
* 4. a1(P) a7(R)
* 5. d1(n) d1-d2
* 6. c4(r) b8(G)
* 7. d5(N) c2(p)
* 8. a2(c) a2-a4
* 9. a1-a2 a3(M)
* 10. a2-a1 c8(P)
* 11. a1-a2 c1(p)
* 12. a2-a1 b3(m)
* 13. a1-a2 b3-a3
* 14. a2-a1 a3-a2
* 15. c5-c4 c1-d1
* 16. c4-c5 d1-c1
* 17. c5-c4 c1-d1
* 18. c4-c5 d1-c1
* 19. c5-c4 c1-d1
* 20. c4-c5 d1-c1
* 21. c5-c4 c1-d1
* Draws
* Comment 0 0
0. 1484669631312
1. 1484669631328
2. 1484669631359
3. 1484669631390
4. 1484669631437
5. 1484669631468
6. 1484669631500
7. 1484669631531
8. 1484669631546
9. 1484669631593
10. 1484669631609
11. 1484669631656
12. 1484669631671
13. 1484669631703
14. 1484669631734
15. 1484669631765
16. 1484669631796
17. 1484669631828
18. 1484669631843
19. 1484669631875
20. 1484669631921
21. 1484669631937
22. 1484669631984
23. 1484669631984
24. 1484669632062
25. 1484669632062
26. 1484669632125
27. 1484669632187
28. 1484669632203
29. 1484669632250
30. 1484669632281
31. 1484669632312
32. 1484669632343
33. 1484669632406
34. 1484669632437
35. 1484669632453
36. 1484669632531
37. 1484669632562
38. 1484669632609
39. 1484669632656
40. 1484669632687
41. 1484669632718
