* 11:54am Jan 18  2017
* B02902030 vs B02902051
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 300
* 1. b7(p) d1(P)
* 2. c3(m) b2(p)
* 3. a4(P) a1(G)
* 4. c1(m) d8(p)
* 5. b3(n) c2(R)
* 6. d3(M) d3-c3
* 7. a2(c) a1-a2
* 8. d4(N) a2-b2
* 9. b4(C) c6(P)
* 10. b3-b4 b6(G)
* 11. c1-d1 a5(p)
* 12. a7(r) a4-a5
* 13. d7(c) b5(p)
* 14. d5(k) a5-b5
* 15. d5-d4 c7(C)
* 16. c5(g) b5-a5
* 17. c8(n) b6-b7
* 18. c4(R) c4-b4
* 19. a6(r) c7-c5
* 20. a8(P) a5-b5
* 21. d6(N) c5-c8
* 22. a3(K) d6-d7
* 23. b1(M) b1-a1
* 24. b8(P) a1-b1
* 25. d2(g) b7-a7
* 26. a6-a5 b5-b6
* 27. d1-c1 b1-c1
* 28. d2-d1 c1-b1
* 29. d1-c1 b1-a1
* 30. c1-d1 a1-b1
* 31. d1-c1 b1-a1
* 32. c1-d1 a1-b1
* 33. d1-c1 b1-a1
* 34. c1-d1 a1-b1
* 35. d1-c1
* Draws
* Comment 0 0
0. 1484711649718
1. 1484711649718
2. 1484711649781
3. 1484711649796
4. 1484711649843
5. 1484711649859
6. 1484711649890
7. 1484711649921
8. 1484711649953
9. 1484711649984
10. 1484711650015
11. 1484711650093
12. 1484711650125
13. 1484711650156
14. 1484711650187
15. 1484711650234
16. 1484711650265
17. 1484711650312
18. 1484711650359
19. 1484711650375
20. 1484711650453
21. 1484711650468
22. 1484711650546
23. 1484711650656
24. 1484711650656
25. 1484711650703
26. 1484711650718
27. 1484711650796
28. 1484711650828
29. 1484711650859
30. 1484711650890
31. 1484711650953
32. 1484711650984
33. 1484711651046
34. 1484711651109
35. 1484711651218
36. 1484711651281
37. 1484711651453
38. 1484711651578
39. 1484711651796
40. 1484711651875
41. 1484711652078
42. 1484711652171
43. 1484711652421
44. 1484711652515
45. 1484711652812
46. 1484711655625
47. 1484711655953
48. 1484711658812
49. 1484711659796
50. 1484711661656
51. 1484711662515
52. 1484711662921
53. 1484711664187
54. 1484711664640
55. 1484711665312
56. 1484711666859
57. 1484711667625
58. 1484711667671
59. 1484711668453
60. 1484711668468
61. 1484711669250
62. 1484711669265
63. 1484711670046
64. 1484711670062
65. 1484711670843
66. 1484711670843
67. 1484711671656
68. 1484711671656
