* 12:07am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. a8(c) c1(P)
* 2. a6(N) a4(R)
* 3. a8-a6 d6(r)
* 4. a6-a4 a3(m)
* 5. d2(R) c5(G)
* 6. c4(n) d1(c)
* 7. b2(g) c5-c4
* 8. d8(C) d2-d1
* 9. c8(p) d1-d2
* 10. c7(g) c1-d1
* 11. d3(G) d1-c1
* 12. b4(p) c1-d1
* 13. c2(P) b8(p)
* 14. a4-c4 d1-c1
* 15. b2-c2 c1-d1
* 16. c2-c1 d2-c2
* 17. c4-c2 d1-d2
* 18. a7(P) d2-d1
* 19. d5(P) d1-d2
* 20. d6-d5 d2-d1
* 21. c6(p) d1-d2
* 22. b6(p) d2-d1
* 23. a5(C) d1-d2
* 24. b7(M) d2-d1
* 25. c7-b7 d1-d2
* 26. c3(k) d2-d1
* 27. c1-d1 d3-d2
* 28. d4(K) d2-d3
* 29. c8-c7 d3-d2
* 30. a2(M) a2-b2
* 31. b5(n) b2-a2
* 32. d1-d2 a2-b2
* 33. d5-c5 b2-a2
* 34. a3-a2 d4-d3
* 35. c3-d3 a5-a4
* 36. a2-b2 a4-a3
* 37. b7-a7 a3-a2
* 38. b2-a2 d8-c8
* 39. b1(N) b1-c1
* 40. a1(m) c1-d1
* 41. d2-d1 c8-d8
* 42. b3(P) d8-c8
* 43. b4-b3 c8-c6
* 44. a1-b1 c6-d6
* 45. b1-c1 d6-d5
* 46. c1-b1 d5-d4
* 47. b1-c1 d4-c4
* 48. c1-b1 c4-d4
* 49. b1-c1 d4-c4
* 50. c1-b1 c4-d4
* 51. b1-c1 d4-c4
* 52. c1-b1 c4-d4
* 53. b1-c1
* Draws
* Comment 0 0
0. 1484669245125
1. 1484669245125
2. 1484669245171
3. 1484669245187
4. 1484669245250
5. 1484669245265
6. 1484669245296
7. 1484669245328
8. 1484669245359
9. 1484669245390
10. 1484669245421
11. 1484669245468
12. 1484669245484
13. 1484669245531
14. 1484669245562
15. 1484669245671
16. 1484669245687
17. 1484669245765
18. 1484669245812
19. 1484669245859
20. 1484669245906
21. 1484669245937
22. 1484669245968
23. 1484669245984
24. 1484669246015
25. 1484669246109
26. 1484669246125
27. 1484669246156
28. 1484669246171
29. 1484669246218
30. 1484669246250
31. 1484669246281
32. 1484669246296
33. 1484669246343
34. 1484669246359
35. 1484669246406
36. 1484669246421
37. 1484669246468
38. 1484669246484
39. 1484669246515
40. 1484669246593
41. 1484669246625
42. 1484669246671
43. 1484669246687
44. 1484669246750
45. 1484669246765
46. 1484669246843
47. 1484669246875
48. 1484669246984
49. 1484669247000
50. 1484669247078
51. 1484669247125
52. 1484669247281
53. 1484669247296
54. 1484669247484
55. 1484669247546
56. 1484669247796
57. 1484669247828
58. 1484669248125
59. 1484669248156
60. 1484669248578
61. 1484669248609
62. 1484669249265
63. 1484669249265
64. 1484669249671
65. 1484669249703
66. 1484669250000
67. 1484669250062
68. 1484669250296
69. 1484669250359
70. 1484669250484
71. 1484669250484
72. 1484669250609
73. 1484669250625
74. 1484669250718
75. 1484669250765
76. 1484669250796
77. 1484669250828
78. 1484669250953
79. 1484669250968
80. 1484669251046
81. 1484669251078
82. 1484669251140
83. 1484669251187
84. 1484669251437
85. 1484669251468
86. 1484669251562
87. 1484669251593
88. 1484669251718
89. 1484669251843
90. 1484669251968
91. 1484669252000
92. 1484669252156
93. 1484669252203
94. 1484669252390
95. 1484669252421
96. 1484669252578
97. 1484669252593
98. 1484669252765
99. 1484669252812
100. 1484669252968
101. 1484669253046
102. 1484669253218
103. 1484669253234
104. 1484669253406
