* 12:10am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. a3(p) b3(P)
* 2. a3-b3 d5(P)
* 3. c1(P) a6(C)
* 4. c5(n) b7(n)
* 5. c5-d5 d1(C)
* 6. b2(g) a2(G)
* 7. b2-a2 b6(g)
* 8. b6-a6 a1(p)
* 9. b8(M) b8-b7
* 10. a2-b2 d7(M)
* 11. a1-a2 c4(P)
* 12. a2-a1 c4-c5
* 13. d5-c5 c3(m)
* 14. a1-a2 d3(k)
* 15. a4(N) a4-a3
* 16. c8(K) a3-a4
* 17. a8(m) a4-a3
* 18. c6(p) a3-a4
* 19. d4(P) a4-a3
* 20. b1(p) a3-a4
* 21. b1-c1 a4-a3
* 22. c2(c) a3-a4
* 23. a5(G) a4-a3
* 24. b5(R) a3-a4
* 25. a6-a5 a4-a3
* 26. b4(r) a3-a4
* 27. b4-a4 d4-c4
* 28. a5-b5 c4-d4
* 29. d2(N) d4-c4
* 30. d3-d2 c4-d4
* 31. d2-d1 d4-d3
* 32. c3-d3 b7-b6
* 33. d8(R) b6-a6
* 34. d6(p) a6-b6
* 35. c7(c) b6-a6
* 36. a7(r) a6-b6
* 37. b5-b6 c8-b8
* 38. c2-d2 b8-b7
* 39. c1-b1 b7-b8
* 40. b1-c1 b8-b7
* 41. c1-b1 b7-b8
* 42. b1-c1 b8-b7
* 43. c1-b1 b7-b8
* 44. b1-c1 b8-b7
* Draws
* Comment 0 0
0. 1484669413875
1. 1484669413937
2. 1484669414000
3. 1484669414031
4. 1484669414062
5. 1484669414125
6. 1484669414140
7. 1484669414171
8. 1484669414250
9. 1484669414265
10. 1484669414296
11. 1484669414375
12. 1484669414390
13. 1484669414421
14. 1484669414453
15. 1484669414484
16. 1484669414515
17. 1484669414546
18. 1484669414562
19. 1484669414593
20. 1484669414640
21. 1484669414671
22. 1484669414703
23. 1484669414718
24. 1484669414750
25. 1484669414781
26. 1484669414812
27. 1484669414843
28. 1484669414906
29. 1484669414937
30. 1484669414968
31. 1484669415000
32. 1484669415031
33. 1484669415062
34. 1484669415093
35. 1484669415125
36. 1484669415156
37. 1484669415203
38. 1484669415265
39. 1484669415296
40. 1484669415421
41. 1484669415468
42. 1484669415546
43. 1484669415625
44. 1484669415687
45. 1484669415703
46. 1484669415828
47. 1484669415890
48. 1484669416031
49. 1484669416031
50. 1484669416171
51. 1484669416218
52. 1484669416453
53. 1484669416453
54. 1484669416625
55. 1484669416656
56. 1484669416765
57. 1484669416781
58. 1484669416953
59. 1484669416984
60. 1484669417093
61. 1484669417109
62. 1484669417203
63. 1484669417234
64. 1484669417312
65. 1484669417359
66. 1484669417453
67. 1484669417500
68. 1484669417640
69. 1484669417671
70. 1484669417968
71. 1484669418000
72. 1484669418765
73. 1484669418796
74. 1484669419343
75. 1484669419375
76. 1484669419984
77. 1484669420031
78. 1484669420562
79. 1484669420593
80. 1484669421203
81. 1484669421218
82. 1484669421796
83. 1484669421875
84. 1484669422468
85. 1484669422500
86. 1484669423046
87. 1484669423125
