* 1:15am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 100
* 1. c4(n) d2(R)
* 2. a7(r) a5(M)
* 3. a8(P) b6(P)
* 4. a7-a8 a3(C)
* 5. d1(N) d8(C)
* 6. c2(P) b5(G)
* 7. c8(r) c1(g)
* 8. c1-d1 d3(G)
* 9. c8-d8 c2-c1
* 10. d1-c1 b3(P)
* 11. a8-a7 d7(P)
* 12. d8-d7 b2(p)
* 13. b2-b3 b7(p)
* 14. a4(m) d2-d1
* 15. a4-a3 d1-d2
* 16. a1(g) d2-d1
* 17. c1-d1 d3-d2
* 18. d1-d2 a5-a4
* 19. a3-a4 b5-a5
* 20. d4(k) a5-b5
* 21. b4(m) b5-b4
* 22. d6(p) b4-b3
* 23. b7-b6 b3-b2
* 24. c6(c) b2-b3
* 25. a2(n) b3-b2
* 26. b8(N) b2-b3
* 27. d5(M) b3-b2
* 28. d4-d5 b2-b3
* 29. c5(p) b3-b2
* 30. d7-d8 b2-b3
* 31. b1(p) b3-b2
* 32. b1-c1 b2-b3
* 33. c3(R) b3-b2
* 34. a6(c) b2-c2
* 35. d2-c2 c3-d3
* 36. a1-b1 c7(K)
* 37. d5-d4 d3-d2
* 38. c2-d2 c7-d7
* 39. d6-d7 b8-c8
* 40. b1-a1 c8-c7
* 41. a1-b1 c7-b7
* 42. c5-d5 b7-c7
* 43. b1-a1 c7-b7
* 44. a1-b1 b7-c7
* 45. b1-a1 c7-b7
* 46. a1-b1 b7-c7
* 47. b1-a1 c7-b7
* 48. a1-b1 b7-c7
* Draws
* Comment 0 0
0. 1484673301500
1. 1484673301515
2. 1484673301546
3. 1484673301578
4. 1484673301625
5. 1484673301656
6. 1484673301687
7. 1484673301718
8. 1484673301765
9. 1484673301812
10. 1484673301843
11. 1484673301875
12. 1484673301890
13. 1484673301968
14. 1484673302000
15. 1484673302046
16. 1484673302093
17. 1484673302125
18. 1484673302156
19. 1484673302250
20. 1484673302265
21. 1484673302296
22. 1484673302343
23. 1484673302375
24. 1484673302484
25. 1484673302531
26. 1484673302562
27. 1484673302625
28. 1484673302640
29. 1484673302687
30. 1484673302734
31. 1484673302765
32. 1484673302781
33. 1484673302875
34. 1484673302890
35. 1484673302937
36. 1484673302968
37. 1484673303000
38. 1484673303046
39. 1484673303093
40. 1484673303140
41. 1484673303187
42. 1484673303218
43. 1484673303281
44. 1484673303328
45. 1484673303375
46. 1484673303406
47. 1484673303468
48. 1484673303531
49. 1484673303578
50. 1484673303671
51. 1484673303750
52. 1484673303796
53. 1484673303859
54. 1484673303921
55. 1484673304031
56. 1484673304078
57. 1484673304125
58. 1484673304203
59. 1484673304312
60. 1484673304437
61. 1484673304468
62. 1484673304609
63. 1484673304781
64. 1484673304968
65. 1484673305015
66. 1484673305390
67. 1484673305484
68. 1484673305875
69. 1484673305921
70. 1484673306078
71. 1484673306296
72. 1484673307171
73. 1484673307265
74. 1484673308109
75. 1484673308171
76. 1484673308531
77. 1484673308625
78. 1484673308765
79. 1484673308875
80. 1484673309046
81. 1484673309218
82. 1484673309406
83. 1484673309468
84. 1484673309671
85. 1484673309859
86. 1484673310031
87. 1484673310140
88. 1484673310312
89. 1484673310484
90. 1484673310656
91. 1484673310750
92. 1484673310921
93. 1484673311140
94. 1484673311296
95. 1484673311343
