* 11:54am Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 300
* 1. d1(R) c6(N)
* 2. c5(G) c2(c)
* 3. c4(g) b4(C)
* 4. d8(p) c4-b4
* 5. a7(m) c2-c5
* 6. c6-c5 a2(g)
* 7. d5(m) b2(R)
* 8. d7(p) a2-b2
* 9. c1(G) d5-c5
* 10. a3(k) a3-a2
* 11. d2(r) a5(p)
* 12. d1-d2 a2-a3
* 13. a1(p) c7(P)
* 14. c8(K) d7-c7
* 15. d3(P) b2-a2
* 16. d6(r) b4-c4
* 17. b1(P) a1-b1
* 18. a4(n) b1-a1
* 19. b7(N) a7-b7
* 20. b6(M) b7-a7
* 21. a8(c) c7-c8
* 22. c1-b1 b3(P)
* 23. d2-d1 c3(C)
* 24. c3-c2 d4(p)
* 25. b1-a1 b8(P)
* 26. a1-a2 a3-a2
* 27. c2-c5 a2-b2
* 28. b3-b2 c4-c5
* 29. b8-c8 d8-c8
* 30. b5(M) c5-c6
* 31. d3-d4 a4-b4
* 32. a6(n) b4-b3
* 33. b5-a5 b3-c3
* 34. d1-c1 c3-d3
* 35. c1-d1 d3-d2
* 36. d1-d2 a7-b7
* 37. a5-a6 c6-c5
* 38. b6-b7 c5-d5
* 39. b2-c2 d5-d4
* 40. d2-d1 d4-d3
* 41. d1-c1 d3-d2
* 42. c1-d1 d2-d1
* 43. c2-b2 d1-c1
* 44. b2-b3 c1-d1
* 45. b3-c3 d1-c1
* 46. c3-d3 c1-d1
* 47. d3-c3 d1-c1
* 48. c3-d3 c1-d1
* 49. d3-c3 d1-c1
* 50. c3-d3 c1-d1
* 51. d3-c3 d1-c1
* Draws
* Comment 0 0
0. 1484711680015
1. 1484711680781
2. 1484711680828
3. 1484711680859
4. 1484711680890
5. 1484711680906
6. 1484711680937
7. 1484711680984
8. 1484711681000
9. 1484711681046
10. 1484711681078
11. 1484711681125
12. 1484711681156
13. 1484711681203
14. 1484711681218
15. 1484711681312
16. 1484711681375
17. 1484711681421
18. 1484711681453
19. 1484711681484
20. 1484711681515
21. 1484711681562
22. 1484711681593
23. 1484711681625
24. 1484711681656
25. 1484711681734
26. 1484711681781
27. 1484711681843
28. 1484711681875
29. 1484711681921
30. 1484711681953
31. 1484711682000
32. 1484711682046
33. 1484711682109
34. 1484711682156
35. 1484711682187
36. 1484711682234
37. 1484711682312
38. 1484711682343
39. 1484711682562
40. 1484711682671
41. 1484711683031
42. 1484711683093
43. 1484711687890
44. 1484711687937
45. 1484711689953
46. 1484711690093
47. 1484711694015
48. 1484711694296
49. 1484711698390
50. 1484711698843
51. 1484711702281
52. 1484711702656
53. 1484711702687
54. 1484711703015
55. 1484711712250
56. 1484711712390
57. 1484711713234
58. 1484711713359
59. 1484711718640
60. 1484711718812
61. 1484711718890
62. 1484711719046
63. 1484711727421
64. 1484711727843
65. 1484711727906
66. 1484711728328
67. 1484711728343
68. 1484711728750
69. 1484711728906
70. 1484711729234
71. 1484711732484
72. 1484711732953
73. 1484711733000
74. 1484711733421
75. 1484711734234
76. 1484711734406
77. 1484711734421
78. 1484711734546
79. 1484711734671
80. 1484711734796
81. 1484711734812
82. 1484711734906
83. 1484711734921
84. 1484711735000
85. 1484711735031
86. 1484711735171
87. 1484711735218
88. 1484711735281
89. 1484711735296
90. 1484711735359
91. 1484711735375
92. 1484711735437
93. 1484711735484
94. 1484711735546
95. 1484711735578
96. 1484711735625
97. 1484711735640
98. 1484711735734
99. 1484711735750
100. 1484711735812
101. 1484711735828
