* 9:28pm Jan 18  2017
* B02902051 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 1
* time 900
* 1. d7(m) b1(C)
* 2. a1(G) c7(M)
* 3. b8(r) a8(n)
* 4. d7-c7 a4(G)
* 5. d1(p) b1-d1
* 6. a7(R) a1-b1
* 7. d6(N) b1-a1
* 8. c7-d7 a1-b1
* 9. d7-d6 b1-a1
* 10. d6-d7 a1-b1
* 11. c1(r) b1-a1
* 12. d4(M) a1-b1
* 13. c1-d1 b1-c1
* 14. d7-c7 c1-d1
* 15. b5(P) d1-c1
* 16. c7-d7 c1-d1
* 17. d7-d6 d1-c1
* 18. b6(p) c1-d1
* 19. d6-d7 d1-c1
* 20. b6-b5 c1-d1
* 21. d7-c7 d1-c1
* 22. c4(p) c1-d1
* 23. b5-b6 d1-c1
* 24. a6(P) c1-d1
* 25. b6-a6 d1-c1
* 26. a6-b6 c1-d1
* 27. c7-d7 d1-c1
* 28. b6-a6 c1-d1
* 29. a6-b6 d1-c1
* 30. d7-c7 c1-d1
* 31. b6-b5 d1-c1
* 32. c7-d7 c1-d1
* 33. d7-c7 d1-c1
* 34. c7-d7 c1-d1
* 35. d7-c7 d1-c1
* 36. c7-d7 c1-d1
* 37. d7-c7 d1-c1
* Draws
* Comment 0 0
0. 1484746091203
1. 1484746091968
2. 1484746092000
3. 1484746092031
4. 1484746092078
5. 1484746092109
6. 1484746092156
7. 1484746092218
8. 1484746092234
9. 1484746092281
10. 1484746092312
11. 1484746092328
12. 1484746092359
13. 1484746092406
14. 1484746092453
15. 1484746092468
16. 1484746092500
17. 1484746092546
18. 1484746092609
19. 1484746092625
20. 1484746092671
21. 1484746092687
22. 1484746092765
23. 1484746092796
24. 1484746092812
25. 1484746092843
26. 1484746092875
27. 1484746092937
28. 1484746092953
29. 1484746092984
30. 1484746093015
31. 1484746093031
32. 1484746093078
33. 1484746093109
34. 1484746093171
35. 1484746093203
36. 1484746093218
37. 1484746093281
38. 1484746093312
39. 1484746093328
40. 1484746093375
41. 1484746093390
42. 1484746093437
43. 1484746093484
44. 1484746093515
45. 1484746093546
46. 1484746093578
47. 1484746093609
48. 1484746093640
49. 1484746093671
50. 1484746093718
51. 1484746093750
52. 1484746093796
53. 1484746093875
54. 1484746093906
55. 1484746093937
56. 1484746093953
57. 1484746094000
58. 1484746094031
59. 1484746094062
60. 1484746094109
61. 1484746094125
62. 1484746094171
63. 1484746094187
64. 1484746094218
65. 1484746094250
66. 1484746094281
67. 1484746094296
68. 1484746094359
69. 1484746094406
70. 1484746094421
71. 1484746094453
72. 1484746094546
73. 1484746094562
