* 10:07am Jan 19  2017
* B01505013 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. c3(C) a4(g)
* 2. a1(p) a8(G)
* 3. c1(P) a3(N)
* 4. b2(c) d8(p)
* 5. d2(C) b2-d2
* 6. d4(M) d2-d4
* 7. b5(n) b4(c)
* 8. a6(p) a4-a3
* 9. c3-a3 b4-a4
* 10. c6(M) b5-b4
* 11. b7(N) b4-b5
* 12. d6(r) a5(m)
* 13. c7(K) c4(g)
* 14. a3-a1 a4-a1
* 15. b8(P) a1-c1
* 16. a2(R) d3(R)
* 17. d5(P) c4-c3
* 18. d3-d4 c3-d3
* 19. d7(G) c5(P)
* 20. b6(p) c1-c5
* 21. b1(r) c5-c7
* 22. d1(m) b3(n)
* 23. c2(k) c8(P)
* 24. d5-c5 a7(p)
* 25. a8-a7 b1-c1
* 26. d4-c4 c1-b1
* 27. d7-d6 b1-c1
* 28. a2-a3 c1-b1
* 29. c4-c3 b1-c1
* 30. c3-c4 c1-b1
* 31. c4-c3 b1-c1
* 32. c3-c4 c1-b1
* 33. c4-c3 b1-c1
* 34. c3-c4 c1-b1
* Draws
* Comment 0 0
0. 1484791668203
1. 1484791668406
2. 1484791668687
3. 1484791668734
4. 1484791669031
5. 1484791669093
6. 1484791669375
7. 1484791669375
8. 1484791669718
9. 1484791669734
10. 1484791669968
11. 1484791669968
12. 1484791670328
13. 1484791670421
14. 1484791670593
15. 1484791670593
16. 1484791673796
17. 1484791673812
18. 1484791677421
19. 1484791677453
20. 1484791679968
21. 1484791679968
22. 1484791682515
23. 1484791682515
24. 1484791685718
25. 1484791685718
26. 1484791687562
27. 1484791687640
28. 1484791689390
29. 1484791689406
30. 1484791691625
31. 1484791691671
32. 1484791693593
33. 1484791693640
34. 1484791696687
35. 1484791696734
36. 1484791708953
37. 1484791708968
38. 1484791721203
39. 1484791721296
40. 1484791733750
41. 1484791734234
42. 1484791746546
43. 1484791747281
44. 1484791759531
45. 1484791761328
46. 1484791773562
47. 1484791784031
48. 1484791796296
49. 1484791826312
50. 1484791838578
51. 1484791839125
52. 1484791851375
53. 1484791881390
54. 1484791893671
55. 1484791893718
56. 1484791905921
57. 1484791909718
58. 1484791921953
59. 1484791921968
60. 1484791934203
61. 1484791934203
62. 1484791946531
63. 1484791946562
64. 1484791958812
65. 1484791958828
66. 1484791971046
67. 1484791971078
