* 10:13am Jan 19  2017
* B02902030 vs B01505013
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b7(P) a1(N)
* 2. c7(m) c1(m)
* 3. d5(p) b2(G)
* 4. c8(G) d2(k)
* 5. c8-c7 a3(P)
* 6. c7-c8 c3(n)
* 7. b7-c7 b4(p)
* 8. c7-b7 a5(P)
* 9. b7-c7 a8(r)
* 10. c7-b7 a6(g)
* 11. d7(p) b6(P)
* 12. a4(n) a6-b6
* 13. d6(p) b6-b7
* 14. a7(R) a2(C)
* 15. a2-a4 d1(C)
* 16. b8(M) d4(c)
* 17. b3(p) c5(r)
* 18. b5(c) b3-a3
* 19. d3(M) d2-d3
* 20. c6(P) b5-b2
* 21. d1-d4 d3-d4
* 22. a1-a2 a3-b3
* 23. a2-b2 b1(N)
* 24. c2(R) c4(K)
* 25. d8(g) d7-c7
* 26. c8-d8 d6-c6
* 27. b1-a1 c1-c2
* 28. a5-b5 c6-b6
* 29. a1-b1 c5-c6
* 30. b1-a1 d5-c5
* 31. a1-b1 d4-d3
* 32. c4-d4 c3-c4
* 33. d4-d5 d3-c3
* 34. d5-d4 c2-b2
* 35. b8-c8 a8-b8
* 36. d8-d7 c3-c2
* 37. d7-d8 c2-c3
* 38. d8-d7 c3-c2
* 39. d7-d8 c2-c3
* 40. d8-d7 c3-c2
* 41. d7-d8 c2-c3
* 42. d8-d7
* Draws
* Comment 0 0
0. 1484791988359
1. 1484791988531
2. 1484791988546
3. 1484791988875
4. 1484791988921
5. 1484791989203
6. 1484791989234
7. 1484791991968
8. 1484791991984
9. 1484791992328
10. 1484791992343
11. 1484791992656
12. 1484791992687
13. 1484791993000
14. 1484791993015
15. 1484791993328
16. 1484791993375
17. 1484791993703
18. 1484791993718
19. 1484791994062
20. 1484791994078
21. 1484791998781
22. 1484791998812
23. 1484792003703
24. 1484792003718
25. 1484792008843
26. 1484792008984
27. 1484792014281
28. 1484792014328
29. 1484792021750
30. 1484792021796
31. 1484792029640
32. 1484792030015
33. 1484792033593
34. 1484792035234
35. 1484792038046
36. 1484792040296
37. 1484792043078
38. 1484792071359
39. 1484792074406
40. 1484792097000
41. 1484792109218
42. 1484792111250
43. 1484792123531
44. 1484792123546
45. 1484792135812
46. 1484792136062
47. 1484792148328
48. 1484792148468
49. 1484792160671
50. 1484792160906
51. 1484792173234
52. 1484792181578
53. 1484792193890
54. 1484792223906
55. 1484792236078
56. 1484792242593
57. 1484792254781
58. 1484792284796
59. 1484792297109
60. 1484792318359
61. 1484792330593
62. 1484792360609
63. 1484792372859
64. 1484792402890
65. 1484792415140
66. 1484792445156
67. 1484792457453
68. 1484792480687
69. 1484792492953
70. 1484792522984
71. 1484792535265
72. 1484792565281
73. 1484792577546
74. 1484792577546
75. 1484792589812
76. 1484792589828
77. 1484792602062
78. 1484792602078
79. 1484792614312
80. 1484792614328
81. 1484792626593
82. 1484792626609
