* 12:50pm Jan 19  2017
* B02902030 vs T05902117
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. b7(P) d4(P)
* 2. a6(p) c3(P)
* 3. a2(c) a7(P)
* 4. b5(m) b4(M)
* 5. b4-b5 a6-a7
* 6. c7(g) c1(K)
* 7. b7-a7 c7-b7
* 8. c8(R) b7-a7
* 9. c6(n) a7-a6
* 10. a5(G) c6-c7
* 11. a5-a6 d7(g)
* 12. b8(r) b8-b7
* 13. a6-a7 c7-c6
* 14. b5-b4 d7-c7
* 15. b4-b5 c7-c8
* 16. b5-b4 d8(p)
* 17. a7-b7 a1(N)
* 18. a1-a2 a8(M)
* 19. d6(r) d3(p)
* 20. d4-d3 c5(N)
* 21. c2(m) d8-d7
* 22. c1-c2 c8-b8
* 23. a2-a1 b8-a8
* 24. b3(k) a8-a7
* 25. c3-b3 d7-d8
* 26. b7-a7 d8-c8
* 27. c5-c6 c8-b8
* 28. a3(C) b8-a8
* 29. a7-a8 d6-d7
* 30. d5(p) a4(R)
* 31. c6-c5 b2(C)
* 32. c5-d5 d2(p)
* 33. c4(c) d7-d8
* 34. b1(n) d8-c8
* 35. d1(G) c8-b8
* 36. b6(P) b8-b7
* 37. d3-d2 b7-b8
* 38. a8-b8 c4-a4
* 39. b4-a4 b1-b2
* 40. a1-b1 b2-b3
* 41. d1-c1 b3-b4
* 42. b1-a1 b4-b5
* 43. b8-b7 b5-b6
* 44. a1-b1 b6-a6
* 45. c1-d1 a6-a7
* 46. b1-c1 a7-a8
* 47. c1-b1 a8-a7
* 48. b1-c1 a7-a8
* 49. c1-b1 a8-a7
* 50. b1-c1 a7-a8
* 51. c1-b1 a8-a7
* 52. b1-c1
* Draws
* Comment 0 0
0. 1484801426486
1. 1484801426561
2. 1484801426573
3. 1484801426710
4. 1484801426720
5. 1484801426880
6. 1484801426890
7. 1484801427014
8. 1484801427025
9. 1484801427166
10. 1484801427176
11. 1484801427333
12. 1484801427343
13. 1484801427511
14. 1484801427521
15. 1484801427728
16. 1484801427739
17. 1484801427921
18. 1484801427935
19. 1484801428080
20. 1484801428098
21. 1484801428250
22. 1484801428261
23. 1484801428922
24. 1484801428933
25. 1484801429522
26. 1484801429533
27. 1484801429700
28. 1484801429711
29. 1484801430379
30. 1484801430390
31. 1484801430629
32. 1484801430640
33. 1484801431119
34. 1484801431131
35. 1484801433120
36. 1484801433137
37. 1484801433709
38. 1484801433791
39. 1484801435703
40. 1484801435748
41. 1484801449427
42. 1484801449625
43. 1484801463632
44. 1484801463669
45. 1484801477851
46. 1484801477974
47. 1484801493107
48. 1484801493184
49. 1484801510789
50. 1484801510995
51. 1484801525088
52. 1484801525157
53. 1484801526382
54. 1484801530264
55. 1484801551874
56. 1484801551925
57. 1484801552262
58. 1484801552348
59. 1484801567438
60. 1484801567742
61. 1484801582136
62. 1484801582234
63. 1484801596698
64. 1484801596795
65. 1484801611848
66. 1484801611927
67. 1484801627051
68. 1484801628588
69. 1484801642674
70. 1484801644437
71. 1484801658808
72. 1484801664469
73. 1484801678247
74. 1484801679671
75. 1484801693609
76. 1484801693958
77. 1484801707999
78. 1484801708377
79. 1484801722443
80. 1484801723083
81. 1484801737170
82. 1484801738669
83. 1484801752925
84. 1484801753610
85. 1484801767643
86. 1484801767694
87. 1484801782261
88. 1484801783309
89. 1484801797720
90. 1484801798647
91. 1484801812623
92. 1484801813210
93. 1484801827170
94. 1484801827206
95. 1484801841803
96. 1484801841815
97. 1484801856633
98. 1484801856645
99. 1484801870691
100. 1484801870702
101. 1484801884948
102. 1484801884961
