* 12:41pm Jan 19  2017
* T05902117 vs B02902030
* 1 2 2 2 2 2 5 1 2 2 2 2 2 5
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* X X X X
* first 0
* time 900
* 1. d7(N) a7(G)
* 2. d3(p) a6(G)
* 3. c8(C) a8(c)
* 4. c8-a8 c7(P)
* 5. a2(r) d2(C)
* 6. d4(n) d6(r)
* 7. c7-c8 d6-d7
* 8. c8-c7 c5(g)
* 9. c7-c8 b2(M)
* 10. c8-c7 b5(p)
* 11. c7-c8 b3(k)
* 12. c1(n) d8(P)
* 13. a3(p) b6(p)
* 14. c8-c7 c2(g)
* 15. d8-c8 c2-d2
* 16. c8-d8 c1-c2
* 17. d8-c8 b3-b2
* 18. c8-d8 b7(R)
* 19. d8-c8 a4(p)
* 20. c8-d8 b8(P)
* 21. d8-c8 b1(K)
* 22. c8-d8 b2-b1
* 23. d8-c8 c3(P)
* 24. c8-d8 a5(R)
* 25. d8-c8 c4(m)
* 26. c8-d8 b4(N)
* 27. d8-c8 a1(m)
* 28. c8-d8 d1(c)
* 29. d8-c8 c6(M)
* 30. c8-d8 b1-c1
* 31. d8-c8 a1-b1
* 32. c8-d8 b1-a1
* 33. d8-c8 a1-b1
* 34. c8-d8 b1-a1
* 35. d8-c8 a1-b1
* 36. c8-d8 b1-a1
* 37. d8-c8
* Draws
* Comment 0 0
0. 1484800991228
1. 1484800991754
2. 1484800991805
3. 1484800991833
4. 1484800991965
5. 1484800991977
6. 1484800992151
7. 1484800992162
8. 1484800992348
9. 1484800992359
10. 1484800992446
11. 1484800992456
12. 1484800992553
13. 1484800992565
14. 1484800992663
15. 1484800992707
16. 1484800992770
17. 1484800992790
18. 1484800993575
19. 1484800993588
20. 1484800994061
21. 1484800994071
22. 1484800994291
23. 1484800994315
24. 1484800994754
25. 1484800994788
26. 1484800996640
27. 1484800996713
28. 1484801011164
29. 1484801011233
30. 1484801025371
31. 1484801025416
32. 1484801027025
33. 1484801027037
34. 1484801030780
35. 1484801030798
36. 1484801044405
37. 1484801044499
38. 1484801059638
39. 1484801059710
40. 1484801073959
41. 1484801074041
42. 1484801088183
43. 1484801088360
44. 1484801102479
45. 1484801102563
46. 1484801116749
47. 1484801117652
48. 1484801132788
49. 1484801133687
50. 1484801147876
51. 1484801151387
52. 1484801165118
53. 1484801179166
54. 1484801194706
55. 1484801224722
56. 1484801239843
57. 1484801269463
58. 1484801283544
59. 1484801313560
60. 1484801328861
61. 1484801329059
62. 1484801343094
63. 1484801343116
64. 1484801357758
65. 1484801357770
66. 1484801373005
67. 1484801373017
68. 1484801387859
69. 1484801387872
70. 1484801402136
71. 1484801402156
72. 1484801416291
